ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2939,Global Cookstove Program (EKI Phase 01),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"190,438",Asia,2023-02-01,2021-12-21,2028-12-20
2940,GLOBAL COOKSTOVE PROGRAM (EKI - Pink City),Multiple Proponents,Energy demand,,VMR0006,Registered,India,"226,899",Asia,2024-10-18,2022-12-05,2029-12-04
2941,Global Cookstove Program (EKI Phase 03),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"376,969",Asia,2024-10-18,2022-04-10,2029-04-09
2942,Clean Cooking - Cook Stove for Rural India,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"50,552",Asia,2024-01-16,2022-06-16,2029-06-15
2943,Global Cookstove Program (EKI Phase 05),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"2,295,219",Asia,2024-10-21,2022-10-01,2029-09-30
2944,Clean Cookstoves for Rural India,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"714,414",Asia,2024-01-04,2022-05-11,2029-05-10
2945,Global Cookstove Program (EKI Phase 07),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-31,2023-08-01,2030-07-31
2946,Global Cookstove Program (EKI Phase 08),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-31,2023-02-15,2030-02-14
2947,Global Cookstove Program (EKI Phase 09),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-05-16,2023-07-01,2030-06-30
2948,Global Cookstove Program (EKI Phase 10),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,993",Asia,2023-06-07,2023-01-30,2030-01-29
2932,4B EREGLI LFG POWER PLANT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,"28,568",Europe,2023-08-08,2020-12-20,2027-12-19
2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh,NE Climate A/S,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,"3,289,487",Asia,2022-12-13,2017-01-29,2027-01-28
2931,Grassland Restoration and Stewardship in South Africa (GRASS),Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Registered,South Africa,"465,123",Africa,2023-09-20,2021-12-01,2051-11-30
2928,North Bandai Bamboo Reforestation Project,"EcoPlanet Bamboo Group, LLC",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,"107,907",Africa,2024-03-15,2021-06-01,2041-05-31
2929,"Bandai Hills Bamboo Reforestation Project, Ghana","EcoPlanet Bamboo Group, LLC",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,"188,926",Africa,2024-03-15,2022-06-01,2042-05-31
